scint_alpha,drift_bias,pixel_jitter,muon_flux,cathode_temp,anode_noise,beam_phase,shield_rho,veto_count,gain_offset,cerenkov_angle,trigger_rate,track_curvature,y
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,-851.6867545451279
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-6.222222222222222,-1255.0632624938207
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-4.444444444444445,-91.54851718714589
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-2.666666666666667,-720.5348429656875
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-0.8888888888888893,-1403.6595233794787
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.8888888888888893,-1533.0644944993862
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,2.666666666666666,-1109.0207603685149
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,4.444444444444443,-738.6429920315602
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,6.222222222222221,-2161.554308058365
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,8.0,-2017.8230994597589
0.0,0.0,0.0,-6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,261.3540334620352
0.0,0.0,0.0,-6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-6.222222222222222,532.4790215837093
0.0,0.0,0.0,-6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-4.444444444444445,-898.7395345276816
0.0,0.0,0.0,-6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-2.666666666666667,-555.1472648754263
0.0,0.0,0.0,-6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-0.8888888888888893,-107.88169679834101
0.0,0.0,0.0,-6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.8888888888888893,-208.46203464141124
0.0,0.0,0.0,-6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,2.666666666666666,-856.4745037755656
0.0,0.0,0.0,-6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,4.444444444444443,-1402.2353452534098
0.0,0.0,0.0,-6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,6.222222222222221,-172.33823765488972
0.0,0.0,0.0,-6.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,8.0,-645.0386015561396
0.0,0.0,0.0,-4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,239.5235851334395
0.0,0.0,0.0,-4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-6.222222222222222,-300.8134460003715
0.0,0.0,0.0,-4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-4.444444444444445,990.8106748422553
0.0,0.0,0.0,-4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-2.666666666666667,531.3375286364947
0.0,0.0,0.0,-4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-0.8888888888888893,-80.85485736665856
0.0,0.0,0.0,-4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.8888888888888893,-153.1092723512297
0.0,0.0,0.0,-4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,2.666666666666666,316.28453073611774
0.0,0.0,0.0,-4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,4.444444444444443,632.1548173141297
0.0,0.0,0.0,-4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,6.222222222222221,-802.3167545082287
0.0,0.0,0.0,-4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,8.0,-405.4877632976563
0.0,0.0,0.0,-2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,153.97593384121782
0.0,0.0,0.0,-2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-6.222222222222222,675.3146082706887
0.0,0.0,0.0,-2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-4.444444444444445,-758.5459970042226
0.0,0.0,0.0,-2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-2.666666666666667,-472.31502410939413
0.0,0.0,0.0,-2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-0.8888888888888893,17.02577882362591
0.0,0.0,0.0,-2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.8888888888888893,-25.77380441449876
0.0,0.0,0.0,-2.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,2.666666666666666,-600.6976459231155
