scint_alpha,drift_bias,pixel_jitter,muon_flux,cathode_temp,anode_noise,beam_phase,shield_rho,veto_count,gain_offset,cerenkov_angle,trigger_rate,track_curvature,y
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.75,1288.2807162786135
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.3125,-3464.7656277423657
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.875,475.3855576510503
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.4375,917.5692368848511
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.0,1571.1263779126275
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.0,-351.1358977302973
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.4375,90.21855076567914
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.875,-298.21860152558054
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.3125,-710.1624795457815
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.75,415.32105687352174
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.75,1655.1655780761735
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.3125,841.762093823392
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.875,241.3195985462546
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.4375,154.31876712788562
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.0,459.48483753493457
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.0,-239.21108735138932
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.4375,-638.3856517244016
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.875,-503.88217238122417
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.3125,63.71026050836886
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.75,831.2593199464267
0.0,0.0,0.0,-8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.75,1857.9216043203598
0.0,0.0,0.0,-8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.3125,5958.312891934719
0.0,0.0,0.0,-8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.875,589.7054672069862
0.0,0.0,0.0,-8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.4375,-23.177889164046334
0.0,0.0,0.0,-8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.0,-178.94316543169165
0.0,0.0,0.0,-8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.0,-854.9491742432283
0.0,0.0,0.0,-8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.4375,-729.2877539207549
0.0,0.0,0.0,-8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.875,-141.32834688391324
0.0,0.0,0.0,-8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.3125,604.3346676894017
0.0,0.0,0.0,-8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.75,1031.3640841120919
0.0,0.0,0.0,-8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.75,1523.7804852121255
0.0,0.0,0.0,-8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.3125,1654.0860740228998
0.0,0.0,0.0,-8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.875,1186.8677947904237
0.0,0.0,0.0,-8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.4375,437.11038612768584
0.0,0.0,0.0,-8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.0,-233.74043409590774
0.0,0.0,0.0,-8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.0,-813.3342273486458
0.0,0.0,0.0,-8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.4375,-249.8600058323349
0.0,0.0,0.0,-8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.875,479.3801195423692
0.0,0.0,0.0,-8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.3125,907.9445207615585
0.0,0.0,0.0,-8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.75,743.4387744750591
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.75,763.4551697517571
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.3125,1406.3616492438211
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.875,1497.8875706452302
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.4375,1070.8392925092364
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.0,373.15400461416846
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.0,-256.39710953150944
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.4375,424.48903392431987
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.875,843.333255891293
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.3125,733.4377313233123
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.75,18.57864544892395
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.75,167.46040260172697
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.3125,-856.184674537459
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.875,-1065.062148761094
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.4375,-966.117328360103
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.0,-438.52811376547237
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.0,162.11871739890182
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.4375,-292.6881088442165
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.875,-337.5497178032603
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.3125,335.52846292912454
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.75,986.079949596895
0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.75,896.3214581519425
0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.3125,264.77192789713007
0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.875,-499.9554242262526
0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.4375,-928.51783661585
0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.0,-890.8982183407104
0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.0,-267.74536686979036
0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.4375,-232.57173461405466
0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.875,266.8085318069428
0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.3125,1057.3821533082576
0.0,0.0,0.0,8.4375,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.75,1671.0157314365879
0.0,0.0,0.0,8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.75,1050.5526157027236
0.0,0.0,0.0,8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.3125,1008.5640325781824
0.0,0.0,0.0,8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.875,430.4151002310255
0.0,0.0,0.0,8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.4375,-285.4044239905404
0.0,0.0,0.0,8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.0,-745.114176995764
0.0,0.0,0.0,8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.0,19.39329060161342
0.0,0.0,0.0,8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.4375,468.4608492495209
0.0,0.0,0.0,8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.875,1223.3729420710663
0.0,0.0,0.0,8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.3125,1847.9638217991196
0.0,0.0,0.0,8.875,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.75,1886.606201817002
0.0,0.0,0.0,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.75,767.359186952022
0.0,0.0,0.0,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.3125,1308.2866046579354
0.0,0.0,0.0,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.875,1266.8837307498827
0.0,0.0,0.0,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.4375,331.12327065436386
0.0,0.0,0.0,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.0,42.33836911626771
0.0,0.0,0.0,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.0,787.030693961415
0.0,0.0,0.0,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.4375,1503.1350649831643
0.0,0.0,0.0,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.875,2109.2238636715156
0.0,0.0,0.0,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.3125,2180.9608770568366
0.0,0.0,0.0,9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.75,1674.5111620940713
0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.75,313.22399606279885
0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-9.3125,1206.014357583644
0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.875,1696.3031596017568
0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.4375,1660.7736394330188
0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,-8.0,1160.5184237006786
0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.0,1963.242202700558
0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.4375,2502.731473661315
0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,8.875,2577.929816117248
0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.3125,2106.284165006592
0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0,9.75,1338.9934428467127
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,-9.75,1724.3207974774057
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,-9.3125,1246.9937206864781
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,-8.875,1164.0311460073515
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,-8.4375,1423.58714672049
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,-8.0,1892.013817074408
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,8.0,1452.6536356656493
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,8.4375,804.9729944393255
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,8.875,475.2688961062837
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,9.3125,544.7632205702795
0.0,0.0,0.0,-9.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,9.75,963.4132887907004
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,-9.75,1728.8703375186772
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,-9.3125,3236.3923521810552
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,-8.875,2040.9154181056456
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,-8.4375,1743.7766740205614
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,-8.0,2433.66365228316
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,8.0,881.2121984378796
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,8.4375,49.96063877502725
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,8.875,240.21751270254455
0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,0.0,0.0,0.0,-9.3125,0.0,9.3125,1381.3374917614574
