scint_alpha,drift_bias,pixel_jitter,muon_flux,cathode_temp,anode_noise,beam_phase,shield_rho,veto_count,gain_offset,cerenkov_angle,trigger_rate,track_curvature,y
0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,-15.058242176524425
0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.833333333333334,-10.417912140629713
0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.666666666666666,-5.931762078974241
0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.5,8.606524911731833
0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.5,27.00918539257411
0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.666666666666666,16.607163934899983
0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.833333333333334,-12.229362340479437
0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,10.0,-64.3343175042028
0.0,0.0,0.0,-9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,2.511598438504869
0.0,0.0,0.0,-9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.833333333333334,-2.7517941841464557
0.0,0.0,0.0,-9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.666666666666666,4.110658348999624
0.0,0.0,0.0,-9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.5,-4.530271541064945
0.0,0.0,0.0,-9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.5,-12.513734369484318
0.0,0.0,0.0,-9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.666666666666666,8.098995290083119
0.0,0.0,0.0,-9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.833333333333334,18.387457565154733
0.0,0.0,0.0,-9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,10.0,-3.0414883775347965
0.0,0.0,0.0,-9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,-8.558921389078614
0.0,0.0,0.0,-9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.833333333333334,49.62620493314865
0.0,0.0,0.0,-9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.666666666666666,-6.33166684756867
0.0,0.0,0.0,-9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.5,0.7553931009029381
0.0,0.0,0.0,-9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.5,-1.2012964396044725
0.0,0.0,0.0,-9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.666666666666666,0.1974846788235318
0.0,0.0,0.0,-9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.833333333333334,31.09237053171963
0.0,0.0,0.0,-9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,10.0,-9.494107760916643
0.0,0.0,0.0,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,1.5627122086286638
0.0,0.0,0.0,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.833333333333334,15.214492355385694
0.0,0.0,0.0,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.666666666666666,4.72167182237331
0.0,0.0,0.0,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-9.5,10.675848931821708
0.0,0.0,0.0,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.5,75.21735343409964
0.0,0.0,0.0,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.666666666666666,1.4730950083361505
0.0,0.0,0.0,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,9.833333333333334,17.786879793898557
0.0,0.0,0.0,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,10.0,-8.325608652011812
