scint_alpha,drift_bias,pixel_jitter,muon_flux,cathode_temp,anode_noise,beam_phase,shield_rho,veto_count,gain_offset,cerenkov_angle,trigger_rate,track_curvature,y
0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-2.684623762620388
0.0,0.0,0.0,-8.947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-5.652522716950945
0.0,0.0,0.0,-7.894736842105264,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,55.36325316317213
0.0,0.0,0.0,-6.842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,5.266696515077286
0.0,0.0,0.0,-5.7894736842105265,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-10.371715593593008
0.0,0.0,0.0,-4.736842105263158,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-22.08089173201515
0.0,0.0,0.0,-3.6842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,3.72988789269543
0.0,0.0,0.0,-2.6315789473684212,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,35.11956075898057
0.0,0.0,0.0,-1.578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-13.149846652954249
0.0,0.0,0.0,-0.526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-0.652255171297213
0.0,0.0,0.0,0.5263157894736832,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,9.21685583842994
0.0,0.0,0.0,1.5789473684210513,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-18.949688579539156
0.0,0.0,0.0,2.6315789473684212,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,12.378706805437007
0.0,0.0,0.0,3.6842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,-19.04227496299496
0.0,0.0,0.0,4.7368421052631575,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,1.0603279270757329
